Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C_0805_2012Metric,66.929,-73.706,270,top
C1,4.7n,C_0805_2012Metric,66.929,-60.706,270,top
D1,PRTR5V0U2X,SOT-143,71.077,-76.127,180,top
D1,PRTR5V0U2X,SOT-143,71.077,-63.127,180,top
F1,500mA,Fuse_0805_2012Metric,86.2745,-74.528,180,top
F1,500mA,Fuse_0805_2012Metric,86.2745,-61.528,180,top
J1,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,91.002,-76.379,270,top
J1,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,91.002,-63.379,270,top
R1,5.1k,R_0805_2012Metric,86.3365,-77.83,180,top
R1,5.1k,R_0805_2012Metric,86.3365,-64.83,180,top
R2,5.1k,R_0805_2012Metric,70.8425,-72.944,0,top
R2,5.1k,R_0805_2012Metric,70.8425,-59.944,0,top
R5,1M,R_0805_2012Metric,64.897,-73.7295,270,top
R5,1M,R_0805_2012Metric,64.897,-60.7295,270,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,78.992,-70.979,0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,78.992,-57.979,0,top
